CASE#,DATE  OF OCCURRENCE,BLOCK, IUCR, PRIMARY DESCRIPTION, SECONDARY DESCRIPTION, LOCATION DESCRIPTION,ARREST,DOMESTIC,BEAT,WARD,FBI CD,X COORDINATE,Y COORDINATE,LATITUDE,LONGITUDE,LOCATION
JG424400,09/14/2023 06:50:00 PM,070XX N CLARK ST,0460,BATTERY,SIMPLE,SIDEWALK,N,N,2424,49,08B,1163391,1946886,42.009896589,-87.674172392,"(42.009896589, -87.674172392)"
JH106245,01/06/2024 04:50:00 AM,0000X E CHICAGO AVE,051A,ASSAULT,AGGRAVATED - HANDGUN,CONVENIENCE STORE,N,N,1833,2,04A,1176739,1905742,41.896704058,-87.626309934,"(41.896704058, -87.626309934)"
JG476533,10/24/2023 11:00:00 AM,062XX S WOODLAWN AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,N,N,314,20,14,1185287,1863911,41.781719798,-87.596233562,"(41.781719798, -87.596233562)"
JH129522,01/26/2024 08:12:00 PM,0000X E ERIE ST,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,STREET,Y,N,1834,42,15,1176342,1904782,41.894078738,-87.627797026,"(41.894078738, -87.627797026)"
JG455225,10/08/2023 01:25:00 AM,077XX W BELMONT AVE,0460,BATTERY,SIMPLE,APARTMENT,Y,N,1631,38,08B,1123973,1920370,41.937874995,-87.819791901,"(41.937874995, -87.819791901)"
JG506539,11/13/2023 07:00:00 AM,057XX N ST LOUIS AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,N,N,1711,39,14,1152010,1937980,41.985690909,-87.716283229,"(41.985690909, -87.716283229)"
JG487700,11/01/2023 06:16:00 PM,014XX S FARRAR DR,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,1022,24,07,1157638,1892971,41.862069714,-87.696812497,"(41.862069714, -87.696812497)"
JH215110,04/06/2024 01:10:00 AM,004XX N MILWAUKEE AVE,0810,THEFT,OVER $500,STREET,N,N,1214,27,06,1171090,1903574,41.8908808,-87.647121268,"(41.8908808, -87.647121268)"
JH202131,01/01/2024 01:00:00 AM,001XX N GREEN ST,0810,THEFT,OVER $500,RESTAURANT,N,N,1224,27,06,1170713,1900945,41.883674915,-87.648582834,"(41.883674915, -87.648582834)"
JH154654,02/16/2024 01:56:00 PM,060XX S KEDZIE AVE,5002,OTHER OFFENSE,OTHER VEHICLE OFFENSE,STREET,N,Y,823,14,26,1156091,1864310,41.783451628,-87.70326286,"(41.783451628, -87.70326286)"
JH157754,02/18/2024 11:00:00 PM,091XX S PAXTON AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,413,7,07,1192428,1844876,41.729315241,-87.570672019,"(41.729315241, -87.570672019)"
JH295278,06/02/2024 04:00:00 PM,128XX S NORMAL AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,523,9,14,1175319,1819528,41.660155434,-87.634100042,"(41.660155434, -87.634100042)"
JG432289,09/20/2023 04:00:00 PM,031XX W GEORGE ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,1411,35,14,1155010,1919116,41.933867074,-87.705757476,"(41.933867074, -87.705757476)"
JH104908,01/04/2024 11:36:00 PM,086XX S INGLESIDE AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,APARTMENT,N,Y,632,8,14,1184066,1847871,41.737733086,-87.601210469,"(41.737733086, -87.601210469)"
JG485337,10/31/2023 04:36:00 AM,066XX S COTTAGE GROVE AVE,0930,MOTOR VEHICLE THEFT,THEFT / RECOVERY - AUTOMOBILE,STREET,N,N,321,20,07,1182702,1861192,41.774319025,-87.605795029,"(41.774319025, -87.605795029)"
JG403701,08/30/2023 08:30:00 AM,018XX N WESTERN AVE,1152,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,ATM (AUTOMATIC TELLER MACHINE),N,N,1434,32,11,1160070,1912342,41.915175601,-87.687349666,"(41.915175601, -87.687349666)"
JH128132,01/25/2024 03:00:00 PM,063XX N LAKEWOOD AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,2433,48,14,1166464,1942326,41.997318381,-87.662997191,"(41.997318381, -87.662997191)"
JG490009,10/27/2023 12:00:00 AM,030XX W 40TH ST,1156,DECEPTIVE PRACTICE,ATTEMPT - FINANCIAL IDENTITY THEFT,APARTMENT,N,N,921,12,11,1156743,1877947,41.82086027,-87.700504275,"(41.82086027, -87.700504275)"
JG525280,12/01/2023 08:45:00 PM,053XX S KEDZIE AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,822,14,07,1155958,1868891,41.796025221,-87.703627472,"(41.796025221, -87.703627472)"
